item_id,title,type,department,views,reads,saves,unique_users,popularity_score,tags
10,Книга «Чистый Python» (рекомендации),Книга,Разработка,0,2,2,4,16,"{python,книга,""best practices""}"
6,Как провести эффективное совещание,Статья,Общие,0,3,1,4,14,"{""soft skills"",совещания,продуктивность}"
12,Политика информационной безопасности,Документ,IT,1,0,2,3,11,"{безопасность,политика,it}"
9,Шаблон технической документации проекта,Шаблон,Разработка,0,0,2,2,10,"{документация,шаблон,arch}"
4,Анализ продаж за Q1 2024,Отчёт,Аналитика,2,1,1,3,10,"{аналитика,продажи,отчёт}"
13,Инструменты для удалённой работы: обзор,Статья,Общие,2,1,1,3,10,"{remote,инструменты,collaboration}"
5,Вакансия: Middle Python Developer,Вакансия,Разработка,3,0,1,3,8,"{вакансия,python,middle}"
2,Введение в Docker для разработчиков,Обучение,Разработка,3,0,1,4,8,"{docker,контейнеры,devops}"
14,Регулярные выражения для начинающих,Обучение,Разработка,1,2,0,5,7,"{regex,обучение,python}"
1,Руководство по стилю кода Python (PEP 8),Документация,Разработка,2,0,1,3,7,"{python,pep8,стиль}"
8,Новости компании: открытие офиса в Казан...,Новость,Общие,1,2,0,4,7,"{новость,офис,казань}"
7,Основы Git: от коммита до merge request,Обучение,Разработка,0,2,0,2,6,"{git,""version control"",обучение}"
15,Итоги хакатона 2024,Новость,Общие,1,0,1,3,6,"{хакатон,мероприятие,итоги}"
3,План развития для Junior Python разработ...,Карьера,HR,3,1,0,3,6,"{карьера,обучение,junior}"
11,Дашборды в Tableau: базовый курс,Обучение,Аналитика,0,1,0,1,3,"{tableau,дашборды,аналитика}"
106,Корпоративные мероприятия: идеи и реализ...,Статья,HR,1,0,0,1,1,"team building,адаптация,оценка персонала,корпоративная культура"
16,Топ-5 IDE для Python разработчика (вариа...,Статья,Разработка,0,0,0,0,0,"python,алгоритмы,frontend,devops"
17,Постановка целей по SMART: шаблоны и при...,Статья,Управление,0,0,0,0,0,"управление проектами,менеджмент,лидерство,мотивация"
18,Как удержать талантливых сотрудников (ва...,Статья,HR,0,0,0,0,0,"hr,корпоративная культура,рекрутинг,обучение"
19,Как найти баланс между работой и жизнью ...,Статья,Общие,0,0,0,0,0,"психология,продуктивность,эмоциональный интеллект,саморазвитие"
20,Биохакинг: наука о продлении жизни (вари...,Новость,Общие,0,0,0,0,0,"искусственный интеллект,исследования,наука,роботы"
21,"Топ-10 выставок, которые нельзя пропусти...",Статья,Общие,0,0,0,0,0,"выставки,театр,кино,музыка"
22,Правильное питание: мифы и реальность (в...,Статья,Общие,0,0,0,0,0,"спорт,питание,бег,фитнес"
23,Блюда из одной сковороды (вариант 1),Рецепт,Общие,0,0,0,0,0,"кулинария,еда,здоровое питание,десерты"
24,Как подготовиться к поездке за границу (...,Статья,Общие,0,0,0,0,0,"отели,города,лояльность,путешествия"
25,Финансовая подушка безопасности: сколько...,Статья,Финансы,0,0,0,0,0,"налоги,инвестиции,бюджет,экономия"
26,Копирайтинг: как писать продающие тексты...,Статья,Маркетинг,0,0,0,0,0,"pr,аналитика,маркетинг,продвижение"
27,Алгоритмы сортировки: сравнительный анал...,Статья,Разработка,0,0,0,0,0,"javascript,backend,алгоритмы,python"
28,Обратная связь: техники и лайфхаки (вари...,Статья,Управление,0,0,0,0,0,"лидерство,agile,мотивация,тайм-менеджмент"
29,Как создать комфортную атмосферу в коман...,Статья,HR,0,0,0,0,0,"корпоративная культура,онбординг,обучение,рекрутинг"
30,Эмоциональный интеллект: что это и как р...,Статья,Общие,0,0,0,0,0,"выгорание,психология,саморазвитие,эмоциональный интеллект"
31,Как 3D-печать меняет производство (вариа...,Новость,Общие,0,0,0,0,0,"искусственный интеллект,инновации,будущее,исследования"
32,Самые ожидаемые фильмы 2026 года (вариан...,Статья,Общие,0,0,0,0,0,"музыка,книги,живопись,театр"
33,Правильное питание: мифы и реальность (в...,Статья,Общие,0,0,0,0,0,"здоровье,спорт,зож,питание"
34,Смузи для зарядки энергией (вариант 3),Рецепт,Общие,0,0,0,0,0,"готовка,здоровое питание,рецепты,десерты"
35,Эко-туризм: тренды и направления (вариан...,Статья,Общие,0,0,0,0,0,"страны,города,лояльность,отпуск"
36,Личный бюджет: как планировать доходы и ...,Статья,Финансы,0,0,0,0,0,"пенсия,экономия,инвестиции,финансы"
37,Аналитика в маркетинге: ключевые метрики...,Статья,Маркетинг,0,0,0,0,0,"pr,реклама,маркетинг,smm"
38,Введение в Docker: контейнеризация для н...,Статья,Разработка,0,0,0,0,0,"javascript,devops,kubernetes,python"
39,Как проводить ретроспективы без скуки (в...,Статья,Управление,0,0,0,0,0,"лидерство,scrum,тайм-менеджмент,менеджмент"
40,Онбординг новых сотрудников: чек-лист (в...,Статья,HR,0,0,0,0,0,"рекрутинг,обучение,hr,корпоративная культура"
41,Как справляться со стрессом на работе (в...,Статья,Общие,0,0,0,0,0,"стресс,эмоциональный интеллект,психология,саморазвитие"
42,Что такое нейросети и как они работают (...,Новость,Общие,0,0,0,0,0,"исследования,инновации,технологии,наука"
43,Как понимать современное искусство (вари...,Статья,Общие,0,0,0,0,0,"книги,живопись,театр,музыка"
44,ЗОЖ без фанатизма: разумный подход (вари...,Статья,Общие,0,0,0,0,0,"питание,зож,бег,здоровье"
45,Смузи для зарядки энергией (вариант 5),Рецепт,Общие,0,0,0,0,0,"еда,десерты,рецепты,готовка"
46,Горнолыжные курорты: выбор начинающего (...,Статья,Общие,0,0,0,0,0,"туризм,путешествия,города,отпуск"
47,Финансовая подушка безопасности: сколько...,Статья,Финансы,0,0,0,0,0,"бюджет,экономия,пенсия,финансы"
48,Как создать вирусный контент (вариант 5),Статья,Маркетинг,0,0,0,0,0,"продвижение,smm,маркетинг,бренд"
49,Как писать эффективные запросы к базе да...,Статья,Разработка,0,0,0,0,0,"git,базы данных,kubernetes,javascript"
57,Как путешествовать бюджетно (вариант 1),Статья,Общие,0,0,0,0,0,"отпуск,путешествия,туризм,отели"
50,Мотивация сотрудников: что работает в 20...,Статья,Управление,0,0,0,0,0,"управление проектами,мотивация,agile,scrum"
51,Корпоративные мероприятия: идеи и реализ...,Статья,HR,0,0,0,0,0,"оценка персонала,hr,рекрутинг,корпоративная культура"
52,Уверенность в себе: упражнения для роста...,Статья,Общие,0,0,0,0,0,"выгорание,психология,саморазвитие,стресс"
53,Возобновляемая энергия: тренды 2026 (вар...,Новость,Общие,0,0,0,0,0,"технологии,инновации,исследования,роботы"
54,Архитектурные шедевры мира (вариант 3),Статья,Общие,0,0,0,0,0,"живопись,книги,музыка,театр"
55,Здоровый сон: советы сомнолога (вариант ...,Статья,Общие,0,0,0,0,0,"йога,фитнес,питание,здоровье"
56,Блюда из одной сковороды (вариант 5),Рецепт,Общие,0,0,0,0,0,"здоровое питание,десерты,кулинария,готовка"
58,Как накопить на пенсию самостоятельно (в...,Статья,Финансы,0,0,0,0,0,"пенсия,инвестиции,налоги,кредиты"
59,Продвижение в Telegram: каналы и чаты (в...,Статья,Маркетинг,0,0,0,0,0,"smm,pr,продвижение,аналитика"
60,Как писать эффективные запросы к базе да...,Статья,Разработка,0,0,0,0,0,"алгоритмы,frontend,backend,базы данных"
61,Как проводить эффективные встречи 1-на-1...,Статья,Управление,0,0,0,0,0,"лидерство,scrum,тайм-менеджмент,планирование"
62,Корпоративные мероприятия: идеи и реализ...,Статья,HR,0,0,0,0,0,"корпоративная культура,team building,обучение,оценка персонала"
63,Как не выгорать на любимой работе (вариа...,Статья,Общие,0,0,0,0,0,"эмоциональный интеллект,продуктивность,саморазвитие,mindfulness"
64,Как ИИ меняет медицину (вариант 1),Новость,Общие,0,0,0,0,0,"роботы,инновации,исследования,искусственный интеллект"
65,Театральные постановки: рейтинг сезона (...,Статья,Общие,0,0,0,0,0,"кино,искусство,музыка,выставки"
66,5 упражнений для здоровой спины (вариант...,Статья,Общие,0,0,0,0,0,"зож,спорт,здоровье,бег"
67,Как испечь идеальный хлеб дома (вариант ...,Рецепт,Общие,0,0,0,0,0,"готовка,кулинария,еда,десерты"
68,Как путешествовать бюджетно (вариант 2),Статья,Общие,0,0,0,0,0,"города,страны,отпуск,туризм"
69,Как выбрать банк для накоплений (вариант...,Статья,Финансы,0,0,0,0,0,"бюджет,кредиты,финансы,инвестиции"
70,Аналитика в маркетинге: ключевые метрики...,Статья,Маркетинг,0,0,0,0,0,"pr,аналитика,smm,бренд"
77,Плавание: польза и техника (вариант 5),Статья,Общие,0,0,0,0,0,"спорт,фитнес,питание,бег"
71,10 лучших практик написания чистого кода...,Статья,Разработка,0,0,0,0,0,"frontend,kubernetes,алгоритмы,git"
72,Постановка целей по SMART: шаблоны и при...,Статья,Управление,0,0,0,0,0,"agile,менеджмент,тайм-менеджмент,лидерство"
73,Как удержать талантливых сотрудников (ва...,Статья,HR,0,0,0,0,0,"обучение,онбординг,hr,team building"
74,Как не выгорать на любимой работе (вариа...,Статья,Общие,0,0,0,0,0,"эмоциональный интеллект,саморазвитие,психология,стресс"
75,"5 технологий, которые изменят мир через ...",Новость,Общие,0,0,0,0,0,"роботы,искусственный интеллект,наука,инновации"
76,Как искусство влияет на мозг (вариант 5),Статья,Общие,0,0,0,0,0,"кино,театр,музыка,искусство"
78,Как выбрать свежие продукты (вариант 2),Рецепт,Общие,0,0,0,0,0,"десерты,здоровое питание,кулинария,готовка"
79,"10 мест, которые стоит посетить в Европе...",Статья,Общие,0,0,0,0,0,"лояльность,туризм,отпуск,страны"
80,Страхование: что обязательно нужно застр...,Статья,Финансы,0,0,0,0,0,"бюджет,пенсия,экономия,кредиты"
81,SMM в 2026: тренды и платформы (вариант ...,Статья,Маркетинг,0,0,0,0,0,"pr,smm,маркетинг,бренд"
82,Введение в Docker: контейнеризация для н...,Статья,Разработка,0,0,0,0,0,"devops,docker,kubernetes,backend"
83,Управление удаленной командой: лучшие пр...,Статья,Управление,0,0,0,0,0,"мотивация,тайм-менеджмент,лидерство,agile"
84,Как снизить текучесть кадров (вариант 3),Статья,HR,0,0,0,0,0,"рекрутинг,team building,оценка персонала,обучение"
85,Критическое мышление: учимся анализирова...,Статья,Общие,0,0,0,0,0,"выгорание,mindfulness,психология,продуктивность"
86,Новый прорыв в квантовых вычислениях (ва...,Новость,Общие,0,0,0,0,0,"инновации,исследования,будущее,технологии"
87,Архитектурные шедевры мира (вариант 5),Статья,Общие,0,0,0,0,0,"музыка,живопись,выставки,театр"
88,Скандинавская ходьба для всех возрастов ...,Статья,Общие,0,0,0,0,0,"йога,спорт,фитнес,здоровье"
89,Как выбрать свежие продукты (вариант 5),Рецепт,Общие,0,0,0,0,0,"еда,рецепты,кулинария,десерты"
90,Фото-путеводитель: как делать красивые с...,Статья,Общие,0,0,0,0,0,"путешествия,страны,туризм,лояльность"
91,С чего начать инвестировать новичку (вар...,Статья,Финансы,0,0,0,0,0,"бюджет,экономия,кредиты,финансы"
92,Как создать вирусный контент (вариант 4),Статья,Маркетинг,0,0,0,0,0,"pr,аналитика,реклама,продвижение"
93,Почему Kubernetes стал стандартом оркест...,Статья,Разработка,0,0,0,0,0,"frontend,алгоритмы,backend,kubernetes"
94,Как проводить ретроспективы без скуки (в...,Статья,Управление,0,0,0,0,0,"тайм-менеджмент,scrum,планирование,управление проектами"
95,Как снизить текучесть кадров (вариант 4),Статья,HR,0,0,0,0,0,"обучение,корпоративная культура,hr,team building"
96,Медитация для начинающих: простые практи...,Статья,Общие,0,0,0,0,0,"продуктивность,психология,mindfulness,саморазвитие"
97,Как 3D-печать меняет производство (вариа...,Новость,Общие,0,0,0,0,0,"роботы,инновации,исследования,будущее"
98,Архитектурные шедевры мира (вариант 2),Статья,Общие,0,0,0,0,0,"искусство,кино,музыка,театр"
99,Правильное питание: мифы и реальность (в...,Статья,Общие,0,0,0,0,0,"йога,фитнес,спорт,зож"
100,Домашние соусы: базовые рецепты (вариант...,Рецепт,Общие,0,0,0,0,0,"рецепты,еда,десерты,кулинария"
101,Как подготовиться к поездке за границу (...,Статья,Общие,0,0,0,0,0,"отпуск,туризм,путешествия,города"
102,Инвестиции в недвижимость: плюсы и минус...,Статья,Финансы,0,0,0,0,0,"экономия,кредиты,финансы,бюджет"
109,"Книги, которые стоит прочитать этим лето...",Статья,Общие,0,0,0,0,0,"книги,музыка,искусство,кино"
103,Бренд-стратегия: разработка и внедрение ...,Статья,Маркетинг,0,0,0,0,0,"smm,реклама,продвижение,маркетинг"
104,SQL против NoSQL: что выбрать для вашего...,Статья,Разработка,0,0,0,0,0,"базы данных,backend,docker,python"
105,Канбан-доска: организация потока задач (...,Статья,Управление,0,0,0,0,0,"менеджмент,управление проектами,scrum,мотивация"
107,"Техники тайм-менеджмента: Pomodoro, Eise...",Статья,Общие,0,0,0,0,0,"mindfulness,психология,выгорание,стресс"
108,Интернет вещей: умный дом и город (вариа...,Новость,Общие,0,0,0,0,0,"роботы,наука,технологии,исследования"
110,Спортзал дома: минимальный инвентарь (ва...,Статья,Общие,0,0,0,0,0,"здоровье,питание,бег,йога"
111,Быстрый ужин за 15 минут: 5 рецептов (ва...,Рецепт,Общие,0,0,0,0,0,"готовка,рецепты,еда,кулинария"
112,Лучшие пляжи мира (вариант 5),Статья,Общие,0,0,0,0,0,"города,отпуск,страны,лояльность"
113,С чего начать инвестировать новичку (вар...,Статья,Финансы,0,0,0,0,0,"налоги,пенсия,бюджет,инвестиции"
114,Работа с блогерами: советы и подводные к...,Статья,Маркетинг,0,0,0,0,0,"pr,бренд,smm,аналитика"
115,Git Workflow: как не запутаться в ветках...,Статья,Разработка,0,0,0,0,0,"kubernetes,git,javascript,docker"
