user_id,username,item_id,item_title,explanation
12,admin,106,Корпоративные мероприятия: иде...,популярно (497 просмотров)
12,admin,84,Как снизить текучесть кадров (...,популярно (493 просмотров)
12,admin,27,Алгоритмы сортировки: сравните...,популярно (487 просмотров)
12,admin,95,Как снизить текучесть кадров (...,популярно (482 просмотров)
12,admin,51,Корпоративные мероприятия: иде...,популярно (480 просмотров)
1,алексей_волков,4,Анализ продаж за Q1 2024,На основе ваших предпочтений
1,алексей_волков,5,Вакансия: Middle Python Develo...,совпадают: отдел Разработка
1,алексей_волков,13,Инструменты для удалённой рабо...,На основе ваших предпочтений
1,алексей_волков,84,Как снизить текучесть кадров (...,популярно (493 просмотров)
1,алексей_волков,106,Корпоративные мероприятия: иде...,популярно (497 просмотров)
2,елена_морозова,2,Введение в Docker для разработ...,На основе ваших предпочтений
2,елена_морозова,5,Вакансия: Middle Python Develo...,На основе ваших предпочтений
2,елена_морозова,14,Регулярные выражения для начин...,На основе ваших предпочтений
2,елена_морозова,15,Итоги хакатона 2024,На основе ваших предпочтений
2,елена_морозова,106,Корпоративные мероприятия: иде...,популярно (497 просмотров)
4,анна_петрова,1,Руководство по стилю кода Pyth...,На основе ваших предпочтений
4,анна_петрова,8,Новости компании: открытие офи...,На основе ваших предпочтений
4,анна_петрова,12,Политика информационной безопа...,На основе ваших предпочтений
4,анна_петрова,13,Инструменты для удалённой рабо...,На основе ваших предпочтений
4,анна_петрова,14,Регулярные выражения для начин...,На основе ваших предпочтений
5,иван_сидоров,2,Введение в Docker для разработ...,совпадают: отдел Разработка
5,иван_сидоров,3,План развития для Junior Pytho...,На основе ваших предпочтений
5,иван_сидоров,5,Вакансия: Middle Python Develo...,совпадают: отдел Разработка
5,иван_сидоров,8,Новости компании: открытие офи...,На основе ваших предпочтений
5,иван_сидоров,14,Регулярные выражения для начин...,совпадают: отдел Разработка
6,мария_иванова,1,Руководство по стилю кода Pyth...,На основе ваших предпочтений
6,мария_иванова,5,Вакансия: Middle Python Develo...,На основе ваших предпочтений
6,мария_иванова,8,Новости компании: открытие офи...,На основе ваших предпочтений
6,мария_иванова,10,Книга «Чистый Python» (рекомен...,На основе ваших предпочтений
6,мария_иванова,14,Регулярные выражения для начин...,На основе ваших предпочтений
7,сергей_петров,2,Введение в Docker для разработ...,На основе ваших предпочтений
7,сергей_петров,3,План развития для Junior Pytho...,На основе ваших предпочтений
7,сергей_петров,8,Новости компании: открытие офи...,На основе ваших предпочтений
7,сергей_петров,10,Книга «Чистый Python» (рекомен...,На основе ваших предпочтений
7,сергей_петров,13,Инструменты для удалённой рабо...,На основе ваших предпочтений
8,иван,10,Книга «Чистый Python» (рекомен...,На основе ваших предпочтений
8,иван,12,Политика информационной безопа...,совпадают: отдел IT
8,иван,13,Инструменты для удалённой рабо...,На основе ваших предпочтений
8,иван,14,Регулярные выражения для начин...,На основе ваших предпочтений
8,иван,15,Итоги хакатона 2024,На основе ваших предпочтений
9,иван_иванов,1,Руководство по стилю кода Pyth...,На основе ваших предпочтений
9,иван_иванов,3,План развития для Junior Pytho...,совпадают: отдел HR
9,иван_иванов,5,Вакансия: Middle Python Develo...,На основе ваших предпочтений
9,иван_иванов,6,Как провести эффективное совещ...,На основе ваших предпочтений
9,иван_иванов,12,Политика информационной безопа...,На основе ваших предпочтений
11,admin12321,106,Корпоративные мероприятия: иде...,популярно (497 просмотров)
11,admin12321,84,Как снизить текучесть кадров (...,популярно (493 просмотров)
11,admin12321,27,Алгоритмы сортировки: сравните...,популярно (487 просмотров)
11,admin12321,95,Как снизить текучесть кадров (...,популярно (482 просмотров)
11,admin12321,51,Корпоративные мероприятия: иде...,популярно (480 просмотров)
